"General","General"
"Enabled","Enabled"
"Disable the module temporarily. Default: No","Disable the module temporarily. Default: No"
"Display Options","Display Options"
"Display Scope Info by default without having to click on the link. Default: Yes","Display Scope Info by default without having to click on the link. Default: Yes"
"Display Scope Info (%1)","Display Scope Info (%1)"
